file,fault,condition,shaft_hz,supply_hz,carrier_order,descriptor_offset_orders,order_resolution,pole_pairs,slip,bb_offset_orders
broken_bar_and_bearing_inner_H_speed_circulation_20Nm_1000rpm_250705115725,broken_bar_and_bearing_inner_h,speed_circulation_20Nm_1000rpm,16.46178518997764,16.97621597716444,1.03125,1.0,0.03125,1,0.030303030303030276,0.062499999999999944
broken_bar_and_bearing_inner_H_speed_circulation_20Nm_1000rpm_250705115725,broken_bar_and_bearing_inner_h,speed_circulation_20Nm_1000rpm,8.003370815550134,8.503581491522018,1.0625,1.0,0.0625,1,0.05882352941176472,0.12500000000000003
broken_bar_and_bearing_inner_H_speed_circulation_20Nm_1000rpm_250705115725,broken_bar_and_bearing_inner_h,speed_circulation_20Nm_1000rpm,8.030793341495905,8.532717925339398,1.0625,1.0,0.0625,1,0.05882352941176472,0.12500000000000003
broken_bar_and_bearing_inner_H_speed_circulation_20Nm_1000rpm_250705115725,broken_bar_and_bearing_inner_h,speed_circulation_20Nm_1000rpm,16.453483306061543,16.967654659375967,1.03125,1.0,0.03125,1,0.030303030303030276,0.062499999999999944
broken_bar_and_bearing_inner_H_speed_circulation_20Nm_2000rpm_250705120534,broken_bar_and_bearing_inner_h,speed_circulation_20Nm_2000rpm,33.07184626176636,33.572934841490095,1.0151515151515151,1.0,0.015151515151515152,1,0.01492537313432829,0.030303030303030165
broken_bar_and_bearing_inner_H_speed_circulation_20Nm_2000rpm_250705120534,broken_bar_and_bearing_inner_h,speed_circulation_20Nm_2000rpm,24.785463840711202,25.291289633378778,1.0204081632653061,1.0,0.02040816326530612,1,0.020000000000000018,0.04081632653061228
broken_bar_and_bearing_inner_H_speed_circulation_20Nm_2000rpm_250705120534,broken_bar_and_bearing_inner_h,speed_circulation_20Nm_2000rpm,24.79328914775201,25.299274640563276,1.0204081632653061,1.0,0.02040816326530612,1,0.020000000000000018,0.04081632653061228
broken_bar_and_bearing_inner_H_speed_circulation_20Nm_2000rpm_250705120534,broken_bar_and_bearing_inner_h,speed_circulation_20Nm_2000rpm,33.069338094490575,33.57038867167983,1.0151515151515151,1.0,0.015151515151515152,1,0.01492537313432829,0.030303030303030165
broken_bar_and_bearing_inner_H_speed_circulation_20Nm_3000rpm_250705120941,broken_bar_and_bearing_inner_h,speed_circulation_20Nm_3000rpm,5.500957143391762,3.300574286035058,0.6000000000000001,1.0,0.1,1,-0.6666666666666665,0.7999999999999999
broken_bar_and_bearing_inner_H_speed_circulation_20Nm_3000rpm_250705120941,broken_bar_and_bearing_inner_h,speed_circulation_20Nm_3000rpm,49.8649966829219,50.368683518102934,1.0101010101010102,1.0,0.010101010101010102,1,0.010000000000000009,0.02020202020202022
broken_bar_and_bearing_inner_H_speed_circulation_20Nm_3000rpm_250705120941,broken_bar_and_bearing_inner_h,speed_circulation_20Nm_3000rpm,41.509646375469124,42.00976259686033,1.0120481927710845,1.0,0.012048192771084338,1,0.011904761904762085,0.024096385542169044
broken_bar_and_bearing_inner_H_speed_circulation_20Nm_3000rpm_250705120941,broken_bar_and_bearing_inner_h,speed_circulation_20Nm_3000rpm,41.51323478060598,42.01339423579401,1.0120481927710845,1.0,0.012048192771084338,1,0.011904761904762085,0.024096385542169044
broken_bar_and_bearing_inner_H_speed_circulation_20Nm_3000rpm_250705120941,broken_bar_and_bearing_inner_h,speed_circulation_20Nm_3000rpm,49.88464777187839,50.388533102907466,1.0101010101010102,1.0,0.010101010101010102,1,0.010000000000000009,0.02020202020202022
broken_bar_and_bearing_inner_H_speed_circulation_40Nm_1000rpm_250705120227,broken_bar_and_bearing_inner_h,speed_circulation_40Nm_1000rpm,16.061171946027866,16.563083569341238,1.03125,1.0,0.03125,1,0.030303030303030276,0.062499999999999944
